id,origami_type,task_type,method_type,incomplete_input,skipped_steps,total_time,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,date_time
1,Swan,First1,Normal,None,,153.711,3.001,26.762,7.87,47.974,21.651,4.624,9.431,9.662,19.571,3.061,0,0,0,0,0,2/21/2019 14:05
1,Swan,Second1,Normal,None,,99.92,4.093,32.603,3.963,27.041,12.44,2.812,4.726,4.03,5.668,2.253,0,0,0,0,0,2/21/2019 14:07
1,Swan,Third1,Normal,None,,88.603,0.973,20.012,2.181,32.27,15.371,3.42,4.152,3.976,4.86,1.203,0,0,0,0,0,2/21/2019 14:09
1,Swan,Test1,Normal,None,,75.302,75.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/21/2019 14:10
1,Swan,Test2,Normal,None,,69.492,69.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/21/2019 14:17
1,Boat,First2,Augmented,None,,137.791,10.061,17.73,9.766,22.772,10.11,1.49,10.212,6.401,10.462,1.59,11.952,5.84,5.092,7.323,6.813,2/21/2019 14:20
1,Boat,Second2,Augmented,None,,128.506,10.961,1.851,9.791,40.341,7.802,4.222,6.632,4.511,13.691,1.601,6.911,3.9,7.151,0.81,8.156,2/21/2019 14:23
1,Boat,Third2,Augmented,None,,89.071,10.243,1.271,14.792,11.27,7.754,1.856,3.722,4.051,9.711,3.321,3.671,4.591,4.411,6.423,1.83,2/21/2019 14:24
1,Boat,Test1,Augmented,None,,73.425,73.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/21/2019 14:26
1,Boat,Test2,Augmented,None,,96.862,96.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/21/2019 14:33
2,Boat,First1,Augmented,None,,412.925,5.212,3.941,9.74,26.042,161.69,71.83,20.651,97.683,0,0,0,0,0,0,0,2/22/2019 12:08
2,Boat,Second1,Augmented,None,,244.974,8.394,4.651,33.822,37.251,10.83,4.851,8.26,17.381,15.9,3.309,6.662,6.211,64.991,5.831,16.52,2/22/2019 12:13
2,Boat,Third1,Augmented,None,,149.187,10.441,1.56,4.563,12.77,11.531,2.952,5.064,19.001,9.191,2.92,6.97,5.882,43.271,7.119,5.862,2/22/2019 12:15
2,Boat,Test1,Augmented,None,,92.643,92.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/22/2019 12:17
2,Boat,Test2,Augmented,None,,86.623,86.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/22/2019 12:25
2,Swan,First2,Normal,None,,164.363,3.26,26.281,4.35,28.821,15.111,12.561,6.502,9.42,35.882,22.112,0,0,0,0,0,2/22/2019 12:28
2,Swan,Second2,Normal,None,,112.43,1.933,22.705,4.261,35.453,13.311,11.593,4.192,7.261,8.082,3.591,0,0,0,0,0,2/22/2019 12:31
2,Swan,Third2,Normal,None,,85.144,2.623,21.583,3.772,19.33,10.181,6.26,4.742,3.04,8.071,5.491,0,0,0,0,0,2/22/2019 12:32
